Persona,Age,Gender,Nationality,Emirate,Income,Shopping_Frequency,Shopping_Channel,Avg_Spend_Bucket,Recent_Luxury_Purchase,Luxury_View,Social_Perception,Motivation,Trade_Off,Discount_Sensitivity,Scenario_Behavior,Categories,Ethnic_Preference,Color_Preference,Kitchenware_Type,Bundle_Preference,Discovery_Channel,Influencer_Impact,Risk_Concern,Max_Spend,Interest_Level,Will_Buy
Affluent Expat,21-30,Female,Arab,Dubai,25K-50K,Monthly,Online,1500-5000,Yes,Reward,High,Price,Brand,20-40%,Wait Discount,Home Decor,Saree,Dark,Non-stick,Maybe,Influencers,High,Price,19606,Neutral,Yes
Budget Buyer,21-30,Male,Western,Abu Dhabi,<5K,Occasional,Boutique,<500,No,Not important,High,Status,Brand,40%+,Not Buy,Kitchenware,Abaya,Neutral,Cast Iron,No,YouTube,High,Social,1788,Very Interested,No
Value Expat,51+,Female,Western,Other,10K-25K,Rarely,Online,5000-15000,Yes,Occasional,Medium,Status,Design,20-40%,Niche Brand,Ethnic Wear,Abaya,Pastel,Designer,No,Instagram,Medium,Price,5514,Very Interested,Yes
Budget Buyer,51+,Female,Other,Abu Dhabi,<5K,Rarely,Online,500-1500,No,Not important,Low,Quality,Brand,40%+,Luxury Brand,Kitchenware,Saree,Bold,NA,No,TikTok,None,Social,987,Interested,No
Value Expat,41-50,Female,Arab,Abu Dhabi,10K-25K,Monthly,Mall,500-1500,Yes,Occasional,Low,Quality,Brand,20-40%,Wait Discount,Luxury Fashion,Saree,Pastel,Cast Iron,Yes,Influencers,None,Price,1643,Interested,Yes
Luxury Emirati,31-40,Male,Emirati,Abu Dhabi,>50K,Monthly,Online,<500,Yes,Necessity,Medium,Status,Brand,No discount needed,Luxury Brand,Accessories,Saree,Bold,Cast Iron,Yes,TikTok,None,Social,39908,Not Interested,Yes
Value Expat,Under21,Female,Emirati,Abu Dhabi,5K-10K,Weekly,Boutique,500-1500,Yes,Occasional,Medium,Price,Brand,20-40%,Niche Brand,Luxury Fashion,Fusion,Neutral,NA,Yes,Instagram,Medium,Social,5167,Not Interested,Yes
Budget Buyer,21-30,Female,Emirati,Sharjah,<5K,Monthly,Mall,5000-15000,No,Not important,High,Social Media,Brand,40%+,Niche Brand,Ethnic Wear,NA,Dark,Steel,No,Friends,High,Quality,870,Very Interested,No
Value Expat,51+,Female,Arab,Dubai,10K-25K,Weekly,Mixed,>15000,Yes,Occasional,Medium,Quality,Design,20-40%,Wait Discount,Home Decor,NA,Bold,Designer,No,TikTok,None,Social,5122,Neutral,Yes
Budget Buyer,Under21,Female,South Asian,Abu Dhabi,<5K,Occasional,Online,>15000,No,Not important,Low,Quality,Design,40%+,Not Buy,Kitchenware,Abaya,Pastel,Steel,No,Instagram,Low,Trust,1972,Interested,No
Budget Buyer,41-50,Male,Western,Other,<5K,Occasional,Boutique,1500-5000,No,Not important,High,Social Media,Brand,40%+,Luxury Brand,Kitchenware,Saree,Pastel,Non-stick,Yes,Influencers,High,None,2875,Interested,No
Affluent Expat,41-50,Male,Arab,Sharjah,25K-50K,Weekly,Online,1500-5000,Yes,Reward,Low,Quality,Brand,20-40%,Luxury Brand,Accessories,Saree,Pastel,Designer,Maybe,Friends,High,Social,7558,Not Interested,No
Affluent Expat,Under21,Male,Emirati,Other,10K-25K,Monthly,Mixed,5000-15000,No,Reward,Low,Quality,Brand,20-40%,Wait Discount,Luxury Fashion,Abaya,Neutral,Designer,Maybe,Friends,High,Quality,5439,Interested,Yes
Value Expat,51+,Female,Emirati,Abu Dhabi,5K-10K,Rarely,Mall,1500-5000,Yes,Occasional,High,Status,Brand,40%+,Not Buy,Home Decor,NA,Neutral,Steel,Yes,YouTube,None,Social,7326,Very Interested,Yes
Affluent Expat,41-50,Male,South Asian,Dubai,25K-50K,Rarely,Mixed,>15000,Yes,Reward,Medium,Design,Design,20-40%,Wait Discount,Luxury Fashion,Saree,Bold,Steel,No,Instagram,Medium,None,13001,Neutral,Yes
Budget Buyer,51+,Female,Arab,Other,<5K,Monthly,Boutique,1500-5000,No,Not important,High,Quality,Brand,40%+,Not Buy,Accessories,Abaya,Neutral,Cast Iron,Yes,Instagram,None,Social,2755,Not Interested,No
Budget Buyer,21-30,Male,Other,Sharjah,<5K,Occasional,Mall,>15000,No,Not important,High,Quality,Brand,40%+,Wait Discount,Ethnic Wear,NA,Bold,NA,Yes,Mall,High,None,1142,Not Interested,No
Affluent Expat,Under21,Female,Western,Sharjah,25K-50K,Weekly,Online,1500-5000,Yes,Reward,Low,Price,Brand,10-20%,Niche Brand,Luxury Fashion,Abaya,Neutral,Steel,No,YouTube,None,Social,12399,Very Interested,No
Affluent Expat,Under21,Female,South Asian,Abu Dhabi,25K-50K,Weekly,Boutique,1500-5000,No,Reward,Low,Social Media,Brand,20-40%,Niche Brand,Kitchenware,Saree,Neutral,Non-stick,Maybe,Mall,High,None,19775,Not Interested,Yes
Value Expat,31-40,Female,Other,Other,10K-25K,Occasional,Online,<500,Yes,Occasional,High,Social Media,Brand,40%+,Luxury Brand,Luxury Fashion,NA,Bold,Designer,Yes,YouTube,Medium,Trust,3779,Not Interested,Yes
Affluent Expat,21-30,Female,South Asian,Abu Dhabi,25K-50K,Occasional,Boutique,>15000,No,Reward,High,Design,Brand,20-40%,Luxury Brand,Ethnic Wear,Fusion,Pastel,Designer,No,Friends,None,Social,8337,Not Interested,No
Budget Buyer,41-50,Male,Other,Abu Dhabi,<5K,Occasional,Online,>15000,No,Not important,High,Status,Design,40%+,Niche Brand,Ethnic Wear,Saree,Pastel,Non-stick,Maybe,Influencers,Low,None,1329,Neutral,No
Affluent Expat,Under21,Male,South Asian,Dubai,25K-50K,Weekly,Boutique,500-1500,No,Reward,Medium,Quality,Design,20-40%,Not Buy,Kitchenware,NA,Neutral,Steel,Maybe,YouTube,Low,Social,11446,Interested,No
Value Expat,41-50,Male,Other,Other,5K-10K,Rarely,Mixed,<500,No,Occasional,High,Design,Brand,20-40%,Luxury Brand,Luxury Fashion,Saree,Neutral,Steel,No,Influencers,None,Social,5039,Neutral,Yes
Luxury Emirati,51+,Male,Emirati,Dubai,>50K,Weekly,Online,<500,No,Necessity,High,Social Media,Brand,No discount needed,Luxury Brand,Home Decor,Saree,Neutral,NA,Yes,TikTok,Medium,Social,41105,Very Interested,Yes
Value Expat,Under21,Female,Arab,Abu Dhabi,5K-10K,Rarely,Mixed,5000-15000,Yes,Occasional,High,Design,Design,20-40%,Luxury Brand,Luxury Fashion,Fusion,Pastel,NA,No,Influencers,Medium,None,5381,Not Interested,No
Affluent Expat,41-50,Male,Arab,Sharjah,25K-50K,Weekly,Mixed,500-1500,Yes,Reward,Medium,Social Media,Brand,10-20%,Not Buy,Home Decor,Abaya,Neutral,Non-stick,Yes,Instagram,High,Price,4496,Very Interested,Yes
Value Expat,51+,Male,South Asian,Sharjah,10K-25K,Monthly,Online,5000-15000,No,Occasional,High,Social Media,Design,20-40%,Niche Brand,Ethnic Wear,Fusion,Dark,Cast Iron,Maybe,YouTube,None,Social,4917,Interested,No
Luxury Emirati,31-40,Male,Other,Sharjah,>50K,Monthly,Boutique,500-1500,No,Necessity,Medium,Design,Brand,No discount needed,Not Buy,Kitchenware,Abaya,Bold,Non-stick,No,Friends,None,None,28965,Interested,Yes
Value Expat,51+,Male,Arab,Abu Dhabi,10K-25K,Rarely,Mall,<500,Yes,Occasional,Medium,Social Media,Design,40%+,Not Buy,Ethnic Wear,Abaya,Pastel,Steel,Maybe,TikTok,None,Price,3647,Neutral,No
Budget Buyer,Under21,Male,Arab,Other,<5K,Weekly,Boutique,500-1500,No,Not important,Medium,Quality,Brand,40%+,Wait Discount,Kitchenware,Fusion,Dark,NA,No,Mall,Medium,Quality,1659,Neutral,No
Affluent Expat,Under21,Male,Emirati,Abu Dhabi,25K-50K,Weekly,Mixed,5000-15000,No,Reward,Medium,Social Media,Brand,20-40%,Wait Discount,Luxury Fashion,Saree,Neutral,Steel,Maybe,Instagram,Low,Social,17677,Interested,Yes
Luxury Emirati,Under21,Male,Western,Abu Dhabi,>50K,Rarely,Online,1500-5000,No,Necessity,Medium,Quality,Design,No discount needed,Niche Brand,Luxury Fashion,Abaya,Neutral,Cast Iron,No,Friends,Medium,Price,27391,Interested,Yes
Luxury Emirati,31-40,Female,Emirati,Other,>50K,Rarely,Boutique,500-1500,No,Necessity,High,Price,Design,No discount needed,Luxury Brand,Ethnic Wear,Abaya,Neutral,Non-stick,Maybe,Influencers,None,Social,8141,Neutral,Yes
Value Expat,21-30,Female,Arab,Other,5K-10K,Occasional,Online,<500,No,Occasional,Medium,Social Media,Brand,40%+,Not Buy,Kitchenware,Fusion,Neutral,NA,Yes,Mall,Low,Price,2354,Not Interested,Yes
Value Expat,21-30,Male,Arab,Sharjah,5K-10K,Weekly,Mall,<500,Yes,Occasional,High,Quality,Brand,40%+,Not Buy,Ethnic Wear,NA,Pastel,Steel,Maybe,YouTube,High,Price,2363,Interested,No
Value Expat,Under21,Male,Western,Dubai,10K-25K,Weekly,Mall,5000-15000,No,Occasional,High,Price,Brand,20-40%,Niche Brand,Kitchenware,Fusion,Dark,NA,Yes,Friends,Medium,Quality,3939,Not Interested,No
Affluent Expat,51+,Female,Western,Dubai,25K-50K,Monthly,Boutique,500-1500,Yes,Reward,Low,Design,Brand,20-40%,Niche Brand,Home Decor,NA,Neutral,NA,Yes,Influencers,Medium,Quality,13484,Very Interested,Yes
Affluent Expat,Under21,Male,South Asian,Dubai,10K-25K,Occasional,Mall,<500,Yes,Reward,Medium,Price,Design,10-20%,Not Buy,Home Decor,Fusion,Pastel,Non-stick,Yes,YouTube,Medium,Quality,7688,Interested,Yes
Value Expat,31-40,Female,Emirati,Sharjah,10K-25K,Weekly,Mixed,>15000,Yes,Occasional,Medium,Status,Design,20-40%,Not Buy,Accessories,NA,Bold,Steel,Yes,YouTube,None,None,7759,Very Interested,No
Value Expat,31-40,Male,Arab,Dubai,5K-10K,Rarely,Online,<500,No,Occasional,Medium,Design,Design,40%+,Luxury Brand,Kitchenware,Abaya,Dark,Cast Iron,Maybe,TikTok,High,Quality,2217,Neutral,No
Budget Buyer,21-30,Female,Western,Dubai,<5K,Occasional,Boutique,5000-15000,No,Not important,High,Quality,Brand,40%+,Wait Discount,Luxury Fashion,NA,Pastel,Steel,Yes,TikTok,Medium,None,1032,Very Interested,No
Luxury Emirati,31-40,Male,South Asian,Abu Dhabi,>50K,Occasional,Mixed,<500,Yes,Necessity,Low,Social Media,Design,No discount needed,Luxury Brand,Ethnic Wear,Abaya,Bold,Steel,Yes,TikTok,Medium,Price,29154,Very Interested,Yes
Value Expat,Under21,Female,South Asian,Abu Dhabi,5K-10K,Weekly,Online,>15000,Yes,Occasional,High,Social Media,Brand,20-40%,Not Buy,Luxury Fashion,Abaya,Neutral,Non-stick,No,Friends,Low,Quality,7983,Neutral,Yes
Affluent Expat,21-30,Female,Arab,Dubai,10K-25K,Occasional,Boutique,<500,Yes,Reward,Medium,Social Media,Brand,20-40%,Luxury Brand,Home Decor,Saree,Pastel,Non-stick,Maybe,TikTok,Low,None,17702,Neutral,No
Affluent Expat,51+,Male,Other,Sharjah,25K-50K,Monthly,Mixed,5000-15000,Yes,Reward,High,Design,Brand,10-20%,Wait Discount,Luxury Fashion,NA,Pastel,NA,No,Friends,Medium,None,10605,Neutral,No
Value Expat,Under21,Male,South Asian,Abu Dhabi,10K-25K,Occasional,Mall,5000-15000,Yes,Occasional,Medium,Social Media,Brand,20-40%,Wait Discount,Luxury Fashion,Abaya,Neutral,Non-stick,No,Instagram,High,None,5781,Neutral,Yes
Value Expat,Under21,Female,Emirati,Other,10K-25K,Rarely,Mall,500-1500,Yes,Occasional,High,Status,Brand,20-40%,Niche Brand,Ethnic Wear,Abaya,Bold,Non-stick,No,Friends,Medium,Price,2942,Interested,No
Budget Buyer,41-50,Male,Other,Abu Dhabi,<5K,Weekly,Mall,>15000,No,Not important,Low,Design,Brand,40%+,Not Buy,Accessories,NA,Neutral,NA,Yes,Influencers,Medium,None,733,Neutral,No
Luxury Emirati,Under21,Female,South Asian,Dubai,>50K,Occasional,Boutique,<500,No,Necessity,Medium,Price,Brand,No discount needed,Niche Brand,Kitchenware,Saree,Bold,NA,No,Instagram,High,Quality,21597,Interested,Yes
Luxury Emirati,21-30,Female,Emirati,Abu Dhabi,>50K,Occasional,Mixed,500-1500,Yes,Necessity,High,Price,Brand,No discount needed,Not Buy,Kitchenware,Saree,Bold,Designer,No,Instagram,Medium,Quality,41142,Neutral,Yes
Value Expat,41-50,Male,Other,Other,10K-25K,Rarely,Boutique,5000-15000,No,Occasional,High,Status,Brand,40%+,Luxury Brand,Home Decor,Abaya,Dark,Non-stick,No,Instagram,None,None,4849,Not Interested,Yes
Value Expat,41-50,Female,Emirati,Sharjah,5K-10K,Occasional,Online,1500-5000,Yes,Occasional,Medium,Price,Design,40%+,Wait Discount,Home Decor,Abaya,Pastel,Cast Iron,No,Mall,Medium,Social,5597,Not Interested,No
Affluent Expat,21-30,Female,Western,Abu Dhabi,25K-50K,Occasional,Mall,5000-15000,Yes,Reward,Medium,Price,Design,10-20%,Not Buy,Accessories,Abaya,Pastel,Steel,Yes,Friends,None,Social,13082,Very Interested,Yes
Luxury Emirati,51+,Male,South Asian,Other,>50K,Occasional,Mall,<500,Yes,Necessity,Low,Design,Design,No discount needed,Luxury Brand,Kitchenware,Abaya,Pastel,NA,Maybe,Mall,None,Quality,13458,Very Interested,Yes
Luxury Emirati,41-50,Male,Arab,Abu Dhabi,>50K,Occasional,Mall,500-1500,Yes,Necessity,Low,Design,Design,No discount needed,Niche Brand,Ethnic Wear,Fusion,Pastel,Designer,Yes,Instagram,None,None,35005,Very Interested,Yes
Budget Buyer,31-40,Female,South Asian,Sharjah,<5K,Occasional,Boutique,<500,No,Not important,High,Status,Brand,40%+,Wait Discount,Luxury Fashion,Saree,Pastel,Steel,No,Mall,High,Quality,2216,Interested,No
Affluent Expat,41-50,Female,Western,Sharjah,10K-25K,Occasional,Online,>15000,Yes,Reward,High,Status,Brand,10-20%,Niche Brand,Accessories,Fusion,Pastel,Steel,Yes,Influencers,None,Trust,13328,Interested,No
Affluent Expat,31-40,Male,Western,Dubai,25K-50K,Occasional,Online,<500,Yes,Reward,Medium,Quality,Brand,20-40%,Luxury Brand,Luxury Fashion,Saree,Bold,Designer,Yes,TikTok,Low,Trust,14242,Neutral,Yes
Affluent Expat,51+,Female,Arab,Abu Dhabi,25K-50K,Occasional,Boutique,<500,Yes,Reward,High,Quality,Design,10-20%,Luxury Brand,Ethnic Wear,NA,Neutral,Non-stick,No,Friends,Medium,None,12640,Very Interested,Yes
Affluent Expat,21-30,Female,Emirati,Abu Dhabi,25K-50K,Rarely,Boutique,5000-15000,No,Reward,Medium,Design,Design,20-40%,Luxury Brand,Accessories,Saree,Pastel,Designer,No,Influencers,None,None,15546,Interested,Yes
Luxury Emirati,51+,Male,South Asian,Sharjah,25K-50K,Occasional,Boutique,1500-5000,Yes,Necessity,High,Design,Design,No discount needed,Niche Brand,Ethnic Wear,Fusion,Bold,Steel,Yes,Friends,High,Trust,20464,Very Interested,Yes
Value Expat,31-40,Male,Western,Dubai,10K-25K,Monthly,Boutique,500-1500,Yes,Occasional,Medium,Price,Brand,40%+,Wait Discount,Home Decor,Fusion,Pastel,Non-stick,No,TikTok,Low,None,4096,Not Interested,No
Luxury Emirati,51+,Male,Emirati,Sharjah,>50K,Rarely,Online,>15000,Yes,Necessity,Medium,Status,Design,No discount needed,Not Buy,Home Decor,Saree,Neutral,Steel,Yes,Influencers,Low,Quality,26656,Interested,Yes
Budget Buyer,Under21,Male,Emirati,Dubai,<5K,Monthly,Online,>15000,No,Not important,High,Quality,Brand,40%+,Wait Discount,Luxury Fashion,Saree,Dark,Cast Iron,Maybe,YouTube,Low,Quality,892,Very Interested,No
Affluent Expat,41-50,Male,South Asian,Abu Dhabi,10K-25K,Rarely,Mall,>15000,Yes,Reward,High,Price,Brand,10-20%,Wait Discount,Kitchenware,Abaya,Neutral,Cast Iron,No,TikTok,Medium,Social,18556,Interested,Yes
Value Expat,41-50,Female,Western,Abu Dhabi,5K-10K,Monthly,Online,>15000,Yes,Occasional,Medium,Social Media,Design,40%+,Luxury Brand,Luxury Fashion,Abaya,Bold,Cast Iron,Yes,TikTok,High,Trust,2103,Very Interested,Yes
Budget Buyer,21-30,Male,Emirati,Sharjah,<5K,Rarely,Boutique,1500-5000,No,Not important,Low,Status,Design,40%+,Niche Brand,Luxury Fashion,NA,Bold,Non-stick,Maybe,Influencers,None,None,2316,Interested,No
Value Expat,Under21,Female,South Asian,Dubai,10K-25K,Occasional,Mixed,500-1500,No,Occasional,Medium,Status,Brand,20-40%,Niche Brand,Ethnic Wear,Fusion,Neutral,Steel,Maybe,Influencers,Medium,None,3141,Very Interested,Yes
Value Expat,21-30,Female,Arab,Dubai,5K-10K,Weekly,Boutique,500-1500,Yes,Occasional,High,Price,Design,20-40%,Luxury Brand,Kitchenware,Saree,Bold,Non-stick,Yes,YouTube,High,None,7040,Interested,No
Affluent Expat,51+,Male,South Asian,Other,25K-50K,Occasional,Online,500-1500,Yes,Reward,Low,Social Media,Brand,20-40%,Not Buy,Ethnic Wear,Abaya,Bold,Cast Iron,Yes,Friends,High,None,13207,Not Interested,No
Affluent Expat,21-30,Female,South Asian,Other,25K-50K,Monthly,Mixed,5000-15000,No,Reward,Medium,Quality,Design,10-20%,Niche Brand,Accessories,Saree,Neutral,NA,Maybe,Mall,Medium,Price,10098,Neutral,Yes
Value Expat,41-50,Female,South Asian,Other,10K-25K,Weekly,Boutique,500-1500,No,Occasional,Medium,Quality,Brand,20-40%,Niche Brand,Home Decor,Abaya,Dark,Cast Iron,Yes,TikTok,Medium,Trust,4740,Neutral,No
Budget Buyer,Under21,Male,Western,Sharjah,<5K,Rarely,Mall,1500-5000,No,Not important,Medium,Price,Brand,40%+,Not Buy,Luxury Fashion,NA,Bold,Designer,No,Instagram,High,Quality,2146,Very Interested,No
Value Expat,51+,Female,Other,Dubai,5K-10K,Monthly,Online,>15000,Yes,Occasional,Low,Quality,Brand,40%+,Not Buy,Ethnic Wear,Saree,Dark,Non-stick,Yes,YouTube,Medium,Trust,3085,Not Interested,No
Value Expat,31-40,Male,Emirati,Other,10K-25K,Weekly,Mixed,5000-15000,Yes,Occasional,Medium,Price,Design,20-40%,Not Buy,Ethnic Wear,Fusion,Neutral,Designer,No,Mall,Low,Trust,1864,Interested,Yes
Value Expat,21-30,Male,South Asian,Dubai,5K-10K,Monthly,Mall,5000-15000,Yes,Occasional,Low,Quality,Design,40%+,Not Buy,Ethnic Wear,Fusion,Bold,Steel,No,Mall,High,Trust,7666,Very Interested,No
Value Expat,41-50,Male,Western,Abu Dhabi,5K-10K,Monthly,Online,500-1500,Yes,Occasional,Low,Social Media,Brand,20-40%,Not Buy,Ethnic Wear,Abaya,Dark,Cast Iron,Maybe,Influencers,Medium,Price,2771,Very Interested,Yes
Luxury Emirati,51+,Female,Other,Dubai,>50K,Rarely,Online,5000-15000,Yes,Necessity,Low,Status,Design,No discount needed,Niche Brand,Accessories,Fusion,Bold,Cast Iron,No,Mall,None,None,9324,Neutral,Yes
Value Expat,41-50,Female,Emirati,Abu Dhabi,5K-10K,Occasional,Online,>15000,Yes,Occasional,Medium,Design,Design,40%+,Luxury Brand,Ethnic Wear,Fusion,Bold,Steel,Yes,YouTube,Medium,Quality,1533,Neutral,Yes
Budget Buyer,51+,Female,Other,Other,<5K,Occasional,Mixed,500-1500,Yes,Not important,Medium,Quality,Brand,40%+,Luxury Brand,Ethnic Wear,Fusion,Dark,Cast Iron,Maybe,Instagram,None,Price,586,Neutral,No
Luxury Emirati,21-30,Female,South Asian,Sharjah,>50K,Occasional,Mall,5000-15000,Yes,Necessity,Low,Design,Brand,No discount needed,Niche Brand,Home Decor,Abaya,Pastel,NA,No,Mall,Medium,Quality,8596,Neutral,Yes
Value Expat,21-30,Female,Emirati,Sharjah,10K-25K,Rarely,Boutique,1500-5000,Yes,Occasional,High,Social Media,Design,40%+,Not Buy,Accessories,Saree,Pastel,Steel,No,Instagram,Medium,None,1925,Neutral,No
Affluent Expat,31-40,Male,Western,Dubai,25K-50K,Occasional,Boutique,500-1500,Yes,Reward,High,Design,Design,20-40%,Not Buy,Luxury Fashion,Abaya,Dark,Cast Iron,Maybe,Friends,Medium,Social,18857,Not Interested,Yes
Value Expat,31-40,Female,Arab,Dubai,5K-10K,Weekly,Boutique,500-1500,Yes,Occasional,Low,Quality,Design,20-40%,Luxury Brand,Ethnic Wear,Saree,Neutral,Designer,No,Influencers,Medium,Trust,3209,Very Interested,Yes
Luxury Emirati,51+,Male,Other,Sharjah,>50K,Occasional,Boutique,>15000,Yes,Necessity,Medium,Status,Brand,No discount needed,Not Buy,Kitchenware,NA,Bold,Steel,No,Mall,High,Social,20517,Not Interested,Yes
Affluent Expat,21-30,Female,Western,Other,25K-50K,Weekly,Mall,1500-5000,Yes,Reward,Low,Social Media,Brand,20-40%,Luxury Brand,Ethnic Wear,Abaya,Bold,Non-stick,Yes,YouTube,Low,Trust,17045,Neutral,Yes
Value Expat,Under21,Female,Western,Sharjah,5K-10K,Monthly,Boutique,500-1500,No,Occasional,High,Price,Design,40%+,Luxury Brand,Luxury Fashion,Abaya,Bold,Cast Iron,No,Instagram,None,Price,6118,Not Interested,Yes
Affluent Expat,21-30,Male,Arab,Other,10K-25K,Weekly,Mall,5000-15000,Yes,Reward,Medium,Social Media,Brand,10-20%,Wait Discount,Accessories,Saree,Neutral,Steel,Yes,Influencers,Low,Price,13910,Very Interested,Yes
Value Expat,21-30,Female,Emirati,Dubai,5K-10K,Occasional,Mall,<500,No,Occasional,Low,Quality,Design,40%+,Niche Brand,Luxury Fashion,Fusion,Dark,Steel,Maybe,Instagram,None,Price,4178,Not Interested,No
Value Expat,31-40,Male,Other,Dubai,10K-25K,Occasional,Online,500-1500,Yes,Occasional,Low,Status,Design,40%+,Luxury Brand,Kitchenware,NA,Dark,Steel,No,Influencers,Medium,None,3368,Very Interested,Yes
Budget Buyer,51+,Male,Western,Dubai,<5K,Monthly,Boutique,5000-15000,No,Not important,Medium,Status,Design,40%+,Niche Brand,Home Decor,Fusion,Pastel,Non-stick,Yes,Influencers,Low,Trust,2817,Not Interested,No
Affluent Expat,41-50,Female,Arab,Dubai,25K-50K,Rarely,Boutique,5000-15000,No,Reward,Low,Design,Design,20-40%,Wait Discount,Ethnic Wear,Saree,Bold,Cast Iron,Maybe,Mall,Low,Price,5293,Interested,Yes
Affluent Expat,41-50,Female,Emirati,Abu Dhabi,25K-50K,Monthly,Boutique,5000-15000,Yes,Reward,Low,Quality,Brand,20-40%,Luxury Brand,Home Decor,Saree,Pastel,Designer,Yes,Friends,Medium,Trust,5597,Neutral,No
Luxury Emirati,51+,Male,Arab,Other,>50K,Occasional,Mall,>15000,No,Necessity,Low,Social Media,Brand,No discount needed,Luxury Brand,Home Decor,Abaya,Pastel,Non-stick,Maybe,Friends,Low,Price,38230,Neutral,Yes
Budget Buyer,21-30,Male,South Asian,Sharjah,<5K,Monthly,Online,500-1500,No,Not important,High,Social Media,Design,40%+,Luxury Brand,Ethnic Wear,NA,Neutral,Steel,No,Instagram,Medium,Trust,1187,Interested,No
Budget Buyer,51+,Female,Western,Sharjah,<5K,Weekly,Online,5000-15000,No,Not important,High,Quality,Design,40%+,Not Buy,Ethnic Wear,Abaya,Pastel,Non-stick,Yes,TikTok,High,Quality,1890,Not Interested,No
Value Expat,41-50,Male,Other,Sharjah,5K-10K,Occasional,Mall,500-1500,Yes,Occasional,High,Quality,Brand,20-40%,Luxury Brand,Ethnic Wear,Fusion,Neutral,Designer,No,Friends,None,Trust,5665,Interested,No
Budget Buyer,Under21,Male,Arab,Abu Dhabi,<5K,Occasional,Online,>15000,No,Not important,Low,Status,Brand,40%+,Luxury Brand,Home Decor,NA,Bold,Steel,Yes,TikTok,None,Quality,2475,Interested,No
Value Expat,Under21,Male,Other,Abu Dhabi,10K-25K,Monthly,Online,1500-5000,Yes,Occasional,High,Status,Design,20-40%,Wait Discount,Kitchenware,Abaya,Bold,Non-stick,Maybe,Influencers,None,Price,5803,Neutral,Yes
Value Expat,31-40,Male,Emirati,Other,10K-25K,Monthly,Boutique,5000-15000,Yes,Occasional,Medium,Price,Brand,40%+,Niche Brand,Home Decor,NA,Neutral,Steel,Yes,Influencers,High,Price,4728,Neutral,Yes
Luxury Emirati,31-40,Female,Emirati,Sharjah,>50K,Rarely,Online,500-1500,Yes,Necessity,Low,Status,Brand,No discount needed,Luxury Brand,Accessories,NA,Neutral,NA,Maybe,Mall,Low,None,45538,Interested,Yes
Value Expat,21-30,Female,Arab,Dubai,5K-10K,Occasional,Boutique,500-1500,Yes,Occasional,Medium,Price,Brand,20-40%,Luxury Brand,Accessories,NA,Pastel,Non-stick,No,YouTube,None,Social,2337,Interested,No
Luxury Emirati,41-50,Female,South Asian,Other,>50K,Monthly,Online,<500,Yes,Necessity,Low,Quality,Brand,No discount needed,Wait Discount,Home Decor,Saree,Neutral,Steel,Yes,Mall,None,Price,41484,Very Interested,Yes
Budget Buyer,51+,Male,Other,Sharjah,<5K,Monthly,Mall,5000-15000,No,Not important,High,Price,Design,40%+,Not Buy,Kitchenware,Fusion,Bold,Non-stick,Yes,Mall,None,None,1937,Very Interested,No
Value Expat,21-30,Male,Western,Other,10K-25K,Monthly,Mixed,500-1500,Yes,Occasional,High,Social Media,Design,20-40%,Luxury Brand,Ethnic Wear,Fusion,Neutral,NA,Maybe,Mall,None,Price,4005,Not Interested,No
Value Expat,41-50,Female,Other,Other,5K-10K,Monthly,Boutique,5000-15000,Yes,Occasional,High,Quality,Brand,40%+,Luxury Brand,Accessories,Saree,Dark,Non-stick,Yes,Influencers,Medium,Trust,2029,Not Interested,No
Luxury Emirati,21-30,Male,Arab,Other,>50K,Rarely,Mixed,<500,No,Necessity,High,Price,Brand,No discount needed,Not Buy,Kitchenware,Saree,Dark,NA,Yes,Influencers,None,Quality,33456,Neutral,Yes
Affluent Expat,Under21,Male,Arab,Abu Dhabi,25K-50K,Rarely,Mixed,1500-5000,Yes,Reward,Low,Social Media,Brand,10-20%,Not Buy,Ethnic Wear,NA,Dark,Non-stick,Yes,Mall,None,None,11995,Not Interested,Yes
Affluent Expat,41-50,Female,Emirati,Sharjah,10K-25K,Monthly,Mixed,<500,Yes,Reward,Low,Social Media,Design,20-40%,Niche Brand,Accessories,Saree,Pastel,Cast Iron,No,Friends,High,Trust,9237,Not Interested,Yes
Affluent Expat,41-50,Male,Western,Other,10K-25K,Rarely,Mall,<500,No,Reward,Medium,Quality,Design,10-20%,Luxury Brand,Luxury Fashion,Abaya,Dark,Steel,Maybe,Mall,None,None,18421,Not Interested,Yes
Luxury Emirati,41-50,Female,Western,Dubai,>50K,Rarely,Mixed,1500-5000,Yes,Necessity,Low,Price,Design,No discount needed,Niche Brand,Home Decor,NA,Dark,NA,No,Instagram,High,Trust,39723,Very Interested,Yes
Budget Buyer,31-40,Female,South Asian,Abu Dhabi,<5K,Weekly,Mall,1500-5000,No,Not important,High,Social Media,Design,40%+,Not Buy,Accessories,Abaya,Dark,NA,Maybe,Instagram,Medium,Price,1860,Very Interested,No
Value Expat,51+,Male,South Asian,Dubai,10K-25K,Monthly,Mixed,>15000,Yes,Occasional,Low,Design,Design,20-40%,Not Buy,Home Decor,Fusion,Pastel,Cast Iron,No,Influencers,Low,None,7934,Very Interested,Yes
Affluent Expat,31-40,Female,South Asian,Other,10K-25K,Monthly,Online,>15000,No,Reward,High,Price,Design,10-20%,Luxury Brand,Home Decor,Fusion,Dark,Non-stick,Yes,Friends,Medium,Quality,9997,Neutral,Yes
